common_name,description,folklore,link,medicinal_uses,origins,properties,tags
"How to Use: 
	Coca, cocaine ","Coca eradication is a strategy strongly promoted by the U.S. government as part of its ""War on Drugs"" to eliminate the cultivation of coca, a plant whose leaves are used in the manufacture of cocaine. This strategy is being pursued in the coca-growing regions of Colombia, Peru, and Bolivia, where it is highly controversial because of its environmental and its socioeconomic impact.
,Coca is traditionally cultivated in the lower altitudes of the eastern slopes of the Andes.  Since the 1980s, the cultivation of coca has become controversial because it is used for the manufacture of the drug cocaine, which is illegal in most countries.

Good samples of the dried leaves are uncurled, are of a deep green on the upper, and a grey-green on the lower surface, and have a strong tea-like odor; when chewed they produce a faint numbness in the mouth, and have a pleasant, pungent taste. Bad specimens have a camphoraceous smell and a brownish colour, and lack the pungent taste.
,Regional Traditions :, * 
,
 						","
	
	
	The Coca-Cola Company buys 115 tons of coca leaf from Peru and 105 tons from Bolivia per year, which it uses as an ingredient in its Coca-Cola formula (famously a trade secret). The cocaine itself does not end up in the drink nowadays, however, and is generally sold to the pharmaceutical industry where it is used for various surgical procedures. ",<200 https://www.anniesremedy.com/erythroxylum-coca-cocaine.php>,* South_American,Central and South America,"* Depurative,* Psychedelic",* South_American
"How to Use: 
	Club Moss ","The dry, finely powdered spores of club moss are used to promote healing by drying
excess moisture that can cause skin irritation and itching in eczema, much like
cornstarch or colloidal oatmeal. These antibiotic spores are are non-toxic, unlike
the leaves and stems of the plant that contain two poisonous alkaloids, lycopodine
and clavadine. Club moss was used as an whole herb in traditional Chinese medicine,
and in homeopathic amounts in the West. ,
Research on in China on one of the active constituents of club moss, called huperzine
a (HupA.) has showed some promise in preliminary studies that show significant
improvement the cognitive function in patients with mild to moderate vascular
dementia. This had led to its popular use as a , supplement.","
	
	
	 ",<200 https://www.anniesremedy.com/lycopodium-clavatum-club-moss.php>,"* Chinese,* Memory/Focus",Traditional Chinese Medicine,* Midsummer,"* Chinese,* Memory/Focus,memory enhancement"
"How to Use: 
	Clove ","Keeping a bottle of clove oil on hand is a very wise idea, clove oil has come
  to the rescue of many of use who could not get a timely dentist appointment.
  Clove is too useful though, to be hidden away in the first aid kit only to
  be brought out in times of emergency. Even for those who do not go in for aromatherapy
  oils as a rule, clove is a simple and effective solution in such a wide range
  of home remedy uses that it is pretty much indispensable. You can use the antibacterial
  power of clove to deter ,, by using it to disinfect the air and kill germs on surfaces.
  Clove is best known as an , and
  antiseptic treatment for ,, and can treat , and ,.
  Clove oil can also be added to massage oils to ease , and ,. Clove is deodorizing and an antiperspirant and can be used in many
  personal care products, however, make sure it is well diluted in any application
  that requires skin contact. Clove is very useful in the kitchen, use cloves
  to add savory flavors to foods as well as aid in ,.
  Clove eases stomach upsets and ,.
  Clove oil is also one of the best essential oils for , in the home or garden. 
","
	
	
	The ancient Egyptians, Greeks and Romans all used cloves. Courtiers in second century China freshened their breath with cloves before seeking an audience with the Emperor. ",<200 https://www.anniesremedy.com/syzygium-aromaticum-clove-oil.php>,"* Aromatherapy,* Athletes Foot/Ringworm,* Ayurvedic,* Bronchitis,* Christmas,* Cramps/abdominal,* Culinary/Kitchen,* Dental/Oral Care,* Deodorants/Perfumes,* Diarrhea,* Halitosis,* Insect Repellent,* Nausea,* Nerve/Back Pain,* Pain Relief,* Scabies,* Thanksgiving Harvest",Ayurvedic,"* Analgesic,* Antibacterial,* Aphrodisiac,* Aromatic,* Digestive,* EFA,* Energize,* Insect repellents,* Mental Clarity,* Mood,* Warm","* Aromatherapy,* Athletes Foot/Ringworm,* Ayurvedic,* Bronchitis,* Christmas,* Cramps/abdominal,* Culinary/Kitchen,* Dental/Oral Care,* Deodorants/Perfumes,* Diarrhea,* Halitosis,* Insect Repellent,* Nausea,* Nerve/Back Pain,* Pain Relief,* Scabies,* Thanksgiving Harvest,colds
  and viruses,dental
  pain,gum
  disease,bad breath,muscle
  soreness,arthritis
  pain,digestion,nausea,deterring
  ants"
"How to Use: 
	Cleavers ","
, 
 , Herbalists have long regarded cleavers as a valuable lymphatic tonic and ,. The lymph system is the body's mechanism to wash tissues of toxins, passing them back into the bloodstream to be cleansed by the liver and ,. This cleansing action makes cleavers useful in treating conditions like  , and ,, which benefit from purifying the blood.  Cleavers is a reliable diuretic used to help clean gravel and urinary stones and to treat urinary infections. ,In cats, these actions make cleavers a safe long-term aid in the treatment of , lower urinary tract disease (FLUTD), and the herb may also be useful for chronic low-grade kidney inflammation., In studies cleavers extract lowered , without slowing heart rate or having any health-threatening side effects. ,
 ,Cleavers is a , relative, and the roasted seeds are used as a coffee substitute. The young leaves can be eaten like spinach.","
	
	
	 ",<200 https://www.anniesremedy.com/galium-aparine-cleavers.php>,"* Eczema,* Hair,* Hypertension,* Kidney,* Pet,* Psoriasis,* Skin Care",North America,"* Appetite Depressant,* Astringent,* Depurative,* Diuretic,* Refrigerant,* Tonic,* Vulnerary","* Eczema,* Hair,* Hypertension,* Kidney,* Pet,* Psoriasis,* Skin Care,	
 
,
,kidneys,psoriasis,arthritis,feline, blood pressure"
"How to Use: 
	Clary Sage "," Clary sage has a special affinity with the female system in general and is recommended for , who are experiencing ,, pain and tension associated with ,, menstrual problems and PMS. Clary sage oil's contains sclareol which has an estrogen-like structure, contributing to clary's  effectiveness in returning balance to the , system. Clary sage oil's antispasmodic properties relieve pain and menstrual cramping in,.  ,
 ,
 
 
Clary sage oil is ideal to use on a regular basis in baths or perfumes to revitalize and rejuvenate the body and mind. Clary sage has a reputation for creating a sense of euphoria, and in times past was used in beer and wine to heighten the effects of the alcohol. The essential oil is used to treat depressive states and is used as a sedative in nervous, , states of mind. Massage with clary sage oil is profoundly relaxing with a sensual quality making it beneficial for , partly due to it's  hormonal aphrodisiacal influence.
","
	
	
	 ",<200 https://www.anniesremedy.com/salvia-sclarea-clary-sage.php>,"* Amenorrhea,* Anxiety,* Aphrodisiac,* Aromatherapy,* Dysmenorrhea,* Female Hormones,* IBS,* Menopause",,"* Antidepressant,* Antioxidant,* Antispasmodic,* Aphrodisiac,* Aromatic,* Calm,* Communication,* Confidence,* Deodorant/Perfumes,* Digestive,* Emmenagogue,* Hypotensive,* Nervine,* Sedative,* Stomachic,* Stress,* Uterine Tonic","* Amenorrhea,* Anxiety,* Aphrodisiac,* Aromatherapy,* Dysmenorrhea,* Female Hormones,* IBS,* Menopause,women,menopause,female reproductive,anxious,frigidity"
"How to Use: 
	Lemongrass ","
Lemongrass is a well known medicinal herb in the east, as well as being widely used in Thai, Indonesian,Vietnamese, and Caribbean cooking. In Ayurvedic medicine a preparation of lemon grass with pepper has been used for relief of menstrual troubles and nausea.
Lemon grass is a mild diuretic and a digestive stimulant that promotes digestion of fats. ","
	
	
	 ",<200 https://www.anniesremedy.com/cymopogon-citratus-lemongrass.php>,"* Aromatherapy,* Cellulite,* Culinary/Kitchen,* Herbal Teas,* Insect Repellent",,"* Analgesic,* Antibacterial,* Aromatic,* Astringent,* Balance,* Calm,* Depurative,* Digestive,* Emmenagogue,* Galactagogue,* Insect repellents,* Mood,* Nervine,* Skin tonic,* Warm","* Aromatherapy,* Cellulite,* Culinary/Kitchen,* Herbal Teas,* Insect Repellent"
Medicinal Uses & Benefits of Cinnamon  ,"
,Diabetes is a growing and grave concern that has many people searching for natural and safe ways to treat and prevent it.  Some very interesting recent research suggests that cinnamon
	 cassia (,) is effective in improving blood glucose control in patients with ,.,: The simple touch of cinnamon  infuses warmth and energy
     throughout your body. As part of tea blends, cinnamon improves the taste
     of less tasty herbs and adds  powerful antibacterial power to 
	 , and 
	 ,. Cinnamon essential oil is a reliable remedy for 
	  , but should only be applied to the skin when diluted with a carrier oil. ,Whole cinnamon, taken in tea or tincture form, is an effective treatment for yeast infections that are resistant to treatment. It is useful as a treatment for thrush, an oral yeast infection, as well as for the gum disease gingivitis.
, Used in cooking, cinnamon aids , and is recommended by German Commission E for treating loss of appetite and stomach upset.  Cinnamon prevents bloating and flatulence and treats heartburn and nausea.  For a more intense, spicy cinnamon  choose ,.  Ceylon cinnamon, ,,  has a sweeter, more delicate flavor. The oils of both contain cinnamic aldehyde as the major component, with cassia having the larger amount. 
","
	
	
	 ",<200 https://www.anniesremedy.com/cinnamomum-zeylanicum-cinnamon.php>,"* Aromatherapy,* Athletes Foot/Ringworm,* Ayurvedic,* Candida/yeast,* Christmas,* Colds,* Culinary/Kitchen,* Diabetes,* Digestion,* Flu,* Herbal Teas,* IBS,* Insect Repellent,* Longevity Tonics,* Nausea,* Thanksgiving Harvest","
,
, 
 ,Ayurvedic,Southeast Asia","* Analgesic,* Antibacterial,* Antifungal,* Antioxidant,* Antispasmodic,* AntiViral,* Aphrodisiac,* Aromatic,* Astringent,* Astringent,* Digestive,* Energize,* Hypotensive,* Insect repellents,* Mood,* Vermifuge","* Aromatherapy,* Athletes Foot/Ringworm,* Ayurvedic,* Candida/yeast,* Christmas,* Colds,* Culinary/Kitchen,* Diabetes,* Digestion,* Flu,* Herbal Teas,* IBS,* Insect Repellent,* Longevity Tonics,* Nausea,* Thanksgiving Harvest,type 2 diabetes,cold,flu remedies,athletes foot,digestion"
"How to Use: 
	Peruvian Bark ","Regional Traditions :, * 
,
 						","
	
	
	For three centuries quinine,  was the only effective remedy known for malaria. It was known to the Jesuits very early in it's history, hence the common name Jesuit's powder. The name of the genus is due to Linnaeus, who named the tree in 1742 after a Countess of Chinchon, the wife of a viceroy of Peru, who, in 1638, was introduced by natives to the medicinal properties of the bark. In the 1860s, the Dutch government began cultivating cinchona trees on the island of Java in an attempt to monopolize the world production of quinine. Even though the trees are now cultivated worldwide, the bark is still sometimes referred to as ""Peruvian"" bark ",<200 https://www.anniesremedy.com/cinchona-spp-peruvian-bark.php>,* South_American,Central and South America,"* Analgesic,* Antiparasite,* Astringent,* Bitter,* Febrifuge",* South_American
"How to Use: 
	Cilantro ","Cilantro (leaves)and , (seeds) and are  names for different parts of the same plant,  ,, a naturally healing food in both forms. Cilantro is an   excellent , herb that adds flavor to foods and improvse ,. There are both scientific studies, and anecdotal
  evidence to support cilantro's reputation as a powerful ,.. The herb may also have a protective effect when cooked and eaten with fish and other foods that may be contaminated with heavy metals. 
","
	
	
	Coriander has been used by man since the dawn of history; the seeds have been found at neolithic archeological sites and in the tomb of the Egyptian pharaoh Tutankhamun. Cilantro is mentioned in papyrus scrolls and once grew in the famous hanging gardens of Babylon. The Hebrews used cilantro with other herbs in  passover rituals. Hippocrates cultivated and used the herb in his practice in ancient Greece. Cilantro made the voyage to the new world around 1670 and was planted in Massachusetts. ",<200 https://www.anniesremedy.com/coriandrum-sativum-cilantro.php>,"* Culinary/Kitchen,* Digestion,* Halitosis","Ayurvedic,Middle East","* Anti-inflammatory,* Depurative,* Digestive,* Emmenagogue,* Energize,* Febrifuge,* Mental Clarity","* Culinary/Kitchen,* Digestion,* Halitosis,culinary,digestion"
"How to Use: 
	Chrysanthemum ","We value the chrysanthemum for
 their burst of fall color that signals the approach of winter, but like many
 ornamental plants, chrysanthemums have an ancient reputation in the East as
 a medicinal plant.","
	
	
	The chrysanthemum was first cultivated in China as a flowering
 herb and both the leaves and the flowers are mentioned in medical texts in published
 around 500 A.D. ",<200 https://www.anniesremedy.com/chrysanthemum-morifolium.php>,"* Allergies,* Ayurvedic,* Cardiovascular,* Eyes/Vision,* Flu,* Hypertension,* Sore Throat","Ayurvedic,Traditional Chinese Medicine","* Anti-inflammatory,* Antibacterial,* Aromatic,* Demulcent,* Febrifuge,* Hepatic,* Hypotensive,* Refrigerant","* Allergies,* Ayurvedic,* Cardiovascular,* Eyes/Vision,* Flu,* Hypertension,* Sore Throat,high blood pressure."
"How to Use: 
	Rehmannia ","
	 , 
 , Rehmannia root is a very commonly used herb in ,. Know as or Di-huang, (earth yellow), prepared rehmannia is used for loss of blood, yin deficiency, lower back pain with , deficiency from overwork (it replenishes the vital essence of the kidneys),lumbago, cough, hectic fever, ,, urinary incontinence, deafness, uterine bleeding, vertigo, tinnitus, and for regulating menstrual flow. Rehmannia has astringent properties that make it useful in stopping bleeding. It helps to protect and support the  , and adrenal glands and is often found in energy tonic formulas to used to combat chronic fatique. ","
	
	
	 ",<200 https://www.anniesremedy.com/rehmannia-glutinosa-rehmannia-root.php>,"* Fatigue,* Kidney,* Longevity Tonics","
,
, 
 ,Traditional Chinese Medicine","* Analgesic,* Depurative,* Diuretic,* Hypotensive","* Fatigue,* Kidney,* Longevity Tonics,
 ,
,kidney,diabetes,liver"
"How to Use: 
	Chicory ","
	,
, 
 , The dark, rich flavor of chicory is best known as
  a southern substitute for ,, but herbalists value chicory as a ,. 
Drinking chicory on a regular basis helps to rid your system of excess water
and uric acid buildup without depleting potassium and other minerals, helping
  to support the , and the ,This also makes chicory a good beverage for those with ,.  In this respect it mirrors and complements
  the properties of ,, with which it is often combined.  ,
Chicory has a long standing reputation as a medicinal herb, M. Grieve recommended
it in her 1931 , 
,
Chicory
is also a good source of inulin, a prebiotic important to the , and other compounds that are , and antibacterial. ","
	
	
	",<200 https://www.anniesremedy.com/cichorium-intybus-chicory-root.php>,"* Cardiovascular,* Detoxification,* Gout,* Liver","
,
, 
 ,North America","* Anti-inflammatory,* Cholagogue,* Depurative,* Diuretic,* Hepatic,* Laxative,* Refrigerant","* Cardiovascular,* Detoxification,* Gout,* Liver,bitter
  digestive tonic,liver,heart. ,rheumatism and gout,immune system"
"How to Use: 
	Chickweed ","Chickweed  is best known for  it's ability to cool , and speed healing for internal or external flare-ups. , is an old remedy for ,, according to Culpepper, and wise women and herbalists still drink teas of fresh chickweed as one of the classic spring tonics to cleanse the blood.  Chickweed poultices are useful for cooling and soothing , particularly when associated with 
   ,.,Learn to identify and make use of this common ""weed""  that is probably growing in your back yard to ensure  a free lifetime supply of ,, spring salads and teas.  Fresh chickweed can be eaten in summer salads and can be fed to , to assist in the expulsion of hair balls, and sooth the digestive tract. Chickweed is an effective and gentle laxative. The seeds are food for finches and many other seed-eating birds. They say the best things in life are free, and chickweed is a great example.  ","
	
	
	 ",<200 https://www.anniesremedy.com/stellaria-media-chickweed.php>,"* Constipation,* Diet/weight Loss,* Insect/flea Bites,* Psoriasis,* Skin Care,* Spring Tonics",,"* Anti-inflammatory,* Appetite Depressant,* Breath,* Demulcent,* Laxative,* Refrigerant","* Constipation,* Diet/weight Loss,* Insect/flea Bites,* Psoriasis,* Skin Care,* Spring Tonics,obesity,minor burns, skin irritations, and rashes,dryness and itching,companion animals"
"How to Use: 
	Chervil ","Chervil must be used fresh to produce its full flavor. Cooking destroys the
   color and flavor of this delicate herb, so add last to soups and stews. Chervil
   is highly regarded by French cooks and considered to be one of the foremost
   of the  ,, along with chives, , and ,.,
Although chervil is considered to be foremost a  ,, is also has a history of use in herbal medicine. Chervil is a traditional remedy for bad dreams, burns, and ,. We know today that chervil is an excellent source of antioxidants that stabilize cell membranes and reduce inflammation associated with headache, sinusitis, peptic ulcer, and infections.","
	
	
	Chervil is a delicate and fernlike member of the parsely family, and is similar in appearance and use. The plant is native to southern Russia and western Asia, and cultivated in France for centuries. ",<200 https://www.anniesremedy.com/anthriscus-cerefolium-chervil.php>,* Culinary/Kitchen,,"* Antioxidant,* Carminative","* Culinary/Kitchen,culinary herb"
"How to Use: 
	Chaste Tree ","Vitex  neither represses  , passion, as the ancient Greeks who gave it the name ,(chaste), believed, nor does it act as a true ,. Vitex is a normalizing herb for the ,system, a regulator of the hormonal balance of estrogen and progesterone. ,
This normalizing of hormones is what makes the herb valuable in treating , and irregular menses, ,,, and infertility. For chronic problems, it is most effective when taken over a prolonged period of time. ,Vitex berry tinctures were also traditionally prescribed for pain and weakness
  in the limbs.
","
	
	
	 ",<200 https://www.anniesremedy.com/vitex-agnus-castus-chaste-tree.php>,"* Dysmenorrhea,* Female Hormones,* Menopause,* PMS","
,
, 
 ","* Anodyne,* Emmenagogue,* Galactagogue","* Dysmenorrhea,* Female Hormones,* Menopause,* PMS,sexual,aphrodisiac,female reproductive ,painful,PMS, menopause"
"How to Use: 
	Chaparral ","Chaparral has potent and long-lasting anti-inflammatory and analgesic effects in the treatment of  ,. 

 Chaparel is one of the medicinal plants of the Southwest,(along with osha , and ,) with a long history of medicinal use. 
Chaparral herb should only be used externally in baths, and the tincture can be used to make creams and lotions. Applied to the skin, chaparral can have a remarkable healing effect on the,It is useful for  ,, ,, and as an excellent antiseptic dressing for  ,. ","
	
	
	 Chaparral is one the oldest living inhabitants of our planet, and has a long history of use. The American Indians of the Southwest have used this plant for centuries - for everything from the internal treatment of tumors and liver diseases to topical skin treatments, including sunscreen for themselves and their animals.The major traditional use of chaparral in Mexican herbalism is as a bath or liniment to relieve the inflammation and pain of arthritis, sometimes in combination with osha.  ",<200 https://www.anniesremedy.com/larrea-tridentata-chaparral.php>,"* Burns,* Eczema,* Parasites/worms,* Psoriasis,* Sunburns",North America,"* Antibacterial,* Antifungal,* Antiparasite,* emetic","* Burns,* Eczema,* Parasites/worms,* Psoriasis,* Sunburns,rheumatoid arthritis, skin.,eczema,psoriasis,cuts, sores and bruises"
"How to Use: 
	Chanca Piedra ","Regional Traditions :, * 
, * 
,
 
		
	,
	
	,	
	 
	 											","
	
	
	Tea made from the plant Phyllanthus niruri has been used in Brazil for many years to treat urinary problems and kidney stones. ",<200 https://www.anniesremedy.com/phyllanthus-niruri-chanca-piedra.php>,"* Ayurvedic,* Immune,* Kidney,* South_American","Ayurvedic,Central and South America","* Antispasmodic,* Diuretic,* Emmenagogue,* Febrifuge,* Immunostimulant,* Stomachic","* Ayurvedic,* Immune,* Kidney,* South_American,kidney stones,diabetes,nerve damage"
"How to Use: 
	Chamomile ","Because of it's extraordinarily gentle effectiveness, chamomile is the first herb of choice for many home remedies. The seemingly endless list of uses for chamomile can all be traced
to its effects on the nervous system and digestive system, as well as its anti-inflammatory
and antibacterial properties.  Chamomile is a great herb to grow in the garden or buy in bulk, because there are so many different and amazing uses for it. Besides being one of my all time favorite, dried chamomile flowers in a simple muslin bag make a wonderful,, I also love that sweet, apple aroma in ,Chamomile is
  an mild but effective remedy for , and is especially helpful in these conditions that
  may be triggered by stress, anxiety,
  and tension.  Chamomile contains
  spiroether, a very strong antispasmodic agent that relaxes aching, tense muscles
  and alleviates , Chamomile is an excellent healing agent in douche formulas and sitz baths to
treat , , Chamomile calms ,, eases 
, and may have a positive effect on attention deficit disorder (ADD). Chamomile tea and chamomile oil are safe for children and babies who have trouble sleeping or are under stress. , The bitter
   principles in chamomile make it an excellent tonic for the liver and
   digestive system. The bittersweet flavor stimulate the gastric juices, and
   help to settle the stomach. Chamomile teas can be used as part of a treatment
   program for ,because of its antispasmodic properties. Chamomile tea is approved for use by the Commission E for gastrointestinal spasms and inflammatory diseases of the gastrointestinal tract.
   Chamomile's anti-inflammatory actions soothe inflammation
   throughout the digestive tract. Chamomile is more effective for nausea and
   morning sickness when used with , Steep chamomile for at least 20 minutes
   to more thoroughly extract the bitters. , Chamomile contains compounds that are antibacterial and anti-inflammatory; one of these, the lovely blue chamazulene, is noted for promoting tissue regeneration. The anti-inflammatory effect of the essential oil applied topically improves skin regeneration. Skin washes and baths with chamomile tea can calm skin inflammations, as well as bacterial skin diseases according to the ,.
   The anti-inflammatory effect of the essential oil applied topically improves
   , and a cold compress does wonders for puffy eyes. Cooled
   chamomile tea used as a , brings on the highlights in blonde or light
   colored hair. Add , to enhance the effect. Chamomile flower extracts
   are helpful in managing 
, .
,  Both Chamomile teas, and chamomile essential oils can be used in herbal skin washes to help heal ,  To treat boils, bath the area with hot water and a blend of 3 to 4 drops chamomile, lavender and , twice a day. Chamomile also teams up with , as a treatment for , Chamomile makes an effective hot poultice to reduce swelling and ease pain when applied to a , For a dental abscess, put 1 drop of chamomile oil on a cotton ball and apply directly to the abscess.
German chamomile used as a gargle is beneficial for , A gargle made with chamomile tea approved by the German Commission E for bacterial infections of the mouth and gums.  ","
	
	
	Chamomile is one of the oldest favorites among garden herbs, and its use as a medicinal plant was referenced by the Egyptians.  The Greeks named it 'ground-apple' - ",<200 https://www.anniesremedy.com/matricaria-recutita-chamomile.php>,"* Anxiety,* Aromatherapy,* Burns,* Candida/yeast,* Children,* Cramps/abdominal,* Dental/Oral Care,* Depression,* Digestion,* Ear,* Eczema,* Facial Care,* Gastritis/ulcer,* Hair,* Herbal Steam,* Herbal Teas,* IBS,* Rashes,* Skin Care,* Sleep/Insomnia,* Stress,* Sunburns",European,"* Analgesic,* Anodyne,* Anti-inflammatory,* Antidepressant,* Antirheumatic,* Antispasmodic,* AntiViral,* Aromatic,* Bitter,* Breath,* Calm,* Carminative,* Cholagogue,* Cicatrisant,* Depurative,* Diaphoretic,* Digestive,* Diuretic,* Emmenagogue,* Febrifuge,* Hepatic,* Midsummer,* Nervine,* Sedative,* Splenic,* Stomachic,* Stress,* Vasoconstrictor,* Vermifuge,* Vulnerary","* Anxiety,* Aromatherapy,* Burns,* Candida/yeast,* Children,* Cramps/abdominal,* Dental/Oral Care,* Depression,* Digestion,* Ear,* Eczema,* Facial Care,* Gastritis/ulcer,* Hair,* Herbal Steam,* Herbal Teas,* IBS,* Rashes,* Skin Care,* Sleep/Insomnia,* Stress,* Sunburns,delayed menstruation and
  irregular menstruation,,premenstrual pain.,vaginitis and yeast infections, anxiety,stress,irritable bowel syndrome ,skin regeneration,hair rinse,eczema,cuts, scrapes, and abrasions.,minor burns.,swollen jaw, or painful ear.,gingivitis.,vaginitis and yeast infections"
"How to Use: 
	Chaga ","Chaga mushrooms, or cinder conks, have been a staple of traditional
  medicine for centuries among the peoples of
  the boreal forests in Siberia, Asia and North America. They are used as a tonic and blood purifier. They belong to the ,,
  a group of mushrooms that grow on wood and may be the ancestors of most gilled
  mushrooms. Chaga and the similar , both have a reputation as
  tonics for longevity and health which are born out by recent scientific studies.
  These mushrooms show great promise for their ,, , and anti-tumor
  effects that inhibit the spread of ,. ","
	
	
	 Chaga  was documented by Chinese herbalist Shen Nong in his herbal texts as early as the first century B.C.E. Russian folk medicine used chaga for ailments of the stomach, liver, and heart, as well as a tonic, blood purifier, and pain reliever. Chaga remains popular in Russia today, where it is sold as Befunigin, as a cancer cure. ",<200 https://www.anniesremedy.com/inonotus-obliquus-chaga-mushroom.php>,"* Cancer Prevention,* Immune,* Longevity Tonics","
,
, 
 ,European,North America","* Analgesic,* Antioxidant,* AntiViral,* Immunostimulant","* Cancer Prevention,* Immune,* Longevity Tonics,immune response stimulation,cancer cells"
"How to Use: 
	Centaury ","The use of Centaury is an ancient one dating back centuries to the Greeks and
  Romans. It is a , closely related to , and is used for much
  the same purposes. Centaury was once considered a panacea, and freely given
  for almost any disorder from sick cows to head lice. The herb is still popular
  today as a ,. Research confirms
  the plant's potential for treating  ,. Centaury contains the
  alkaloid gentianine which has exhibited strongly anti-inflammatory properties.","
	
	
	 ",<200 https://www.anniesremedy.com/centaurium-erythraea-centaury.php>,"* Digestion,* Gout",,"* Antirheumatic,* Bitter,* Cholagogue,* Depurative,* Digestive,* Febrifuge","* Digestion,* Gout,bitter digestive tonic for gas, bloating, and heartburn,rheumatism and gout"
"How to Use: 
	Celery ","Celery is a ,, often used to reduce the need for salt in cooking. The seeds contain  apigenin and isoquerticin, compounds that help blood vessels to expand, ,., A natural diuretic, celery can reduce excess water buildup and decrease  the uric acid that causes pain and inflammation in , and arthritis. ","
	
	
	 ",<200 https://www.anniesremedy.com/apium-graveolens-celery-seed.php>,"* Cardiovascular,* Cellulite,* Gout,* Rheumatoid_arthritis",,"* Anodyne,* Anxiety,* Calm,* Carminative,* Depurative,* Diuretic,* Emmenagogue,* Nervine,* Refrigerant","* Cardiovascular,* Cellulite,* Gout,* Rheumatoid_arthritis,healthy medicinal food,lowering blood pressure,gout"
"How to Use: 
	Celandine ","	Culpepper's remedy for using Greater Celandine, “ 
,”, was updated
by Ms Grieve, , to include a recipe with the celandine boiled
in milk as remedy as a cure for cataracts. The orange, acrid juice of the fresh
herb is a traditional remedy for , and ringworm, but should be used caution
on small areas of the skin as it is caustic. Celandine share the constituent
sanguinarine
with ,,and like that herb is often
mentioned as an herbal treatment for cancer. The information on this use is sketchy, consisting of a few animal studies  where celandine was shown to suppress cellular growth.,  Celandine is most often used by modern herbalists for treating ,, having a mildly antispasmodic, papaverine-like action on the upper digestive tract.,Greater Celandine is most useful as a complement to other herbs tea preparations to support and improve the functions of the gallbladder for digestive health. It is said to be most effective when prepared from fresh plant sources.  The strength of its effects can be inconsistant as theactive constiuents can vary greatly from one plant to the next.,  It would blend well with peppermint and milk thistle ","
	
	
	Celandine grows all over Germany and France, in waste places, on old walls, along roadways, and about dwellings ; it is pretty well naturalized in the United States, but so far it is not found at any great distance from dwellings, flowering from early in May until October. A fine gamboge-yellow, acrid juice, pervades the plant, root, stem and leaves ; this fact led those who practised upon the doctrine of signatures, to employ the drug in hepatic disorders, from its resemblance to bile in color. It proved one of the hits of that practice. The U. S. Ph. still mentions Chelidonium, but not officially; it will probably be thrown aside at the next revision as worthless, totidem verbis.
",<200 https://www.anniesremedy.com/chelidonium-majus-celandine.php>,"* Liver,* Warts","European,North America,Traditional Chinese Medicine","* Analgesic,* Cholagogue,* Depurative,* Diuretic,* Hepatic,* Purgative,* Sedative","* Liver,* Warts,warts"
"How to Use: 
	Cedarwood "," There are two commercial oils which are known as cedarwood today, ,, Atlas cedarwood, which is a true cedarwood, and ,, known as red cedar. Cedarwood is known for use in ,, as an  ,, and as an inhalent in respiratory complaints. It's actions are sedative, astringent, and antiseptic. It can be used to treat oily skin and scalp, relieve itching, and more serious skin conditions like psoriasis and eczema, remembering that high concentrations will irritate the skin. Cedarwood is similar in action to the highly expensive sandalwood, it also has a sedative effect making it grounding in conditions of  , and nervous tension. ","
	
	
	",<200 https://www.anniesremedy.com/cedrus-atlantica-cedarwood.php>,"* Acne ,* Bronchitis,* Cellulite,* Insect Repellent","
,
, 
 ,Middle East,North America","* Anxiety,* Aromatic,* Astringent,* Calm,* Diuretic,* Expectorant,* Insect repellents,* Muscle Relaxant,* Sedative","* Acne ,* Bronchitis,* Cellulite,* Insect Repellent,problem skin,insect repellent,anxiety"
