common_name,description,folklore,link,medicinal_uses,origins,properties,tags
clary sage ," clary sage has a special affinity with the female system in general and is recommended for , who are experiencing ,, pain and tension associated with ,, menstrual problems and pms. clary sage oil's contains sclareol which has an estrogen-like structure, contributing to clary's  effectiveness in returning balance to the , system. clary sage oil's antispasmodic properties relieve pain and menstrual cramping in,.  , ,  clary sage oil is ideal to use on a regular basis in baths or perfumes to revitalize and rejuvenate the body and mind. clary sage has a reputation for creating a sense of euphoria, and in times past was used in beer and wine to heighten the effects of the alcohol. the essential oil is used to treat depressive states and is used as a sedative in nervous, , states of mind. massage with clary sage oil is profoundly relaxing with a sensual quality making it beneficial for , partly due to it's  hormonal aphrodisiacal influence.", ,salvia sclarea clary sage," Amenorrhea, Anxiety, Aphrodisiac, Aromatherapy, Dysmenorrhea, Female Hormones, IBS, Menopause",," Antidepressant, Antioxidant, Antispasmodic, Aphrodisiac, Aromatic, Calm, Communication, Confidence, Deodorant/Perfumes, Digestive, Emmenagogue, Hypotensive, Nervine, Sedative, Stomachic, Stress, Uterine Tonic"," amenorrhea, anxiety, aphrodisiac, aromatherapy, dysmenorrhea, female hormones, ibs, menopause,women,menopause,female reproductive,anxious,frigidity"
lemongrass ,"lemongrass is a well known medicinal herb in the east, as well as being widely used in thai, indonesian,vietnamese, and caribbean cooking. in ayurvedic medicine a preparation of lemon grass with pepper has been used for relief of menstrual troubles and nausea.lemon grass is a mild diuretic and a digestive stimulant that promotes digestion of fats. ", ,cymopogon citratus lemongrass," Aromatherapy, Cellulite, Culinary/Kitchen, Herbal Teas, Insect Repellent",," Analgesic, Antibacterial, Aromatic, Astringent, Balance, Calm, Depurative, Digestive, Emmenagogue, Galactagogue, Insect repellents, Mood, Nervine, Skin tonic, Warm"," aromatherapy, cellulite, culinary/kitchen, herbal teas, insect repellent"
cinnamon  ,",diabetes is a growing and grave concern that has many people searching for natural and safe ways to treat and prevent it.  some very interesting recent research suggests that cinnamon cassia (,) is effective in improving blood glucose control in patients with ,.,: the simple touch of cinnamon  infuses warmth and energy     throughout your body. as part of tea blends, cinnamon improves the taste     of less tasty herbs and adds  powerful antibacterial power to  , and  ,. cinnamon essential oil is a reliable remedy for   , but should only be applied to the skin when diluted with a carrier oil. ,whole cinnamon, taken in tea or tincture form, is an effective treatment for yeast infections that are resistant to treatment. it is useful as a treatment for thrush, an oral yeast infection, as well as for the gum disease gingivitis., used in cooking, cinnamon aids , and is recommended by german commission e for treating loss of appetite and stomach upset.  cinnamon prevents bloating and flatulence and treats heartburn and nausea.  for a more intense, spicy cinnamon  choose ,.  ceylon cinnamon, ,,  has a sweeter, more delicate flavor. the oils of both contain cinnamic aldehyde as the major component, with cassia having the larger amount. ", ,cinnamomum zeylanicum cinnamon," Aromatherapy, Athletes Foot/Ringworm, Ayurvedic, Candida/yeast, Christmas, Colds, Culinary/Kitchen, Diabetes, Digestion, Flu, Herbal Teas, IBS, Insect Repellent, Longevity Tonics, Nausea, Thanksgiving Harvest",",,  ,Ayurvedic,Southeast Asia"," Analgesic, Antibacterial, Antifungal, Antioxidant, Antispasmodic, AntiViral, Aphrodisiac, Aromatic, Astringent, Astringent, Digestive, Energize, Hypotensive, Insect repellents, Mood, Vermifuge"," aromatherapy, athletes foot/ringworm, ayurvedic, candida/yeast, christmas, colds, culinary/kitchen, diabetes, digestion, flu, herbal teas, ibs, insect repellent, longevity tonics, nausea, thanksgiving harvest,type 2 diabetes,cold,flu remedies,athletes foot,digestion"
peruvian bark ," :, * , ","for three centuries quinine,  was the only effective remedy known for malaria. it was known to the jesuits very early in it's history, hence the common name jesuit's powder. the name of the genus is due to linnaeus, who named the tree in 1742 after a countess of chinchon, the wife of a viceroy of peru, who, in 1638, was introduced by natives to the medicinal properties of the bark. in the 1860s, the dutch government began cultivating cinchona trees on the island of java in an attempt to monopolize the world production of quinine. even though the trees are now cultivated worldwide, the bark is still sometimes referred to as ""peruvian"" bark ",cinchona spp peruvian bark, South_American,Central and South America," Analgesic, Antiparasite, Astringent, Bitter, Febrifuge", south_american
cilantro ,"cilantro (leaves)and , (seeds) and are  names for different parts of the same plant,  ,, a naturally healing food in both forms. cilantro is an   excellent , herb that adds flavor to foods and improvse ,. there are both scientific studies, and anecdotal  evidence to support cilantro's reputation as a powerful ,.. the herb may also have a protective effect when cooked and eaten with fish and other foods that may be contaminated with heavy metals. ",coriander has been used by man since the dawn of history; the seeds have been found at neolithic archeological sites and in the tomb of the egyptian pharaoh tutankhamun. cilantro is mentioned in papyrus scrolls and once grew in the famous hanging gardens of babylon. the hebrews used cilantro with other herbs in  passover rituals. hippocrates cultivated and used the herb in his practice in ancient greece. cilantro made the voyage to the new world around 1670 and was planted in massachusetts. ,coriandrum sativum cilantro," Culinary/Kitchen, Digestion, Halitosis","Ayurvedic,Middle East"," Anti-inflammatory, Depurative, Digestive, Emmenagogue, Energize, Febrifuge, Mental Clarity"," culinary/kitchen, digestion, halitosis,culinary,digestion"
chrysanthemum ,"we value the chrysanthemum for their burst of fall color that signals the approach of winter, but like many ornamental plants, chrysanthemums have an ancient reputation in the east as a medicinal plant.",the chrysanthemum was first cultivated in china as a flowering herb and both the leaves and the flowers are mentioned in medical texts in published around 500 a.d. ,chrysanthemum morifolium," Allergies, Ayurvedic, Cardiovascular, Eyes/Vision, Flu, Hypertension, Sore Throat","Ayurvedic,Traditional Chinese Medicine"," Anti-inflammatory, Antibacterial, Aromatic, Demulcent, Febrifuge, Hepatic, Hypotensive, Refrigerant"," allergies, ayurvedic, cardiovascular, eyes/vision, flu, hypertension, sore throat,high blood pressure."
rehmannia ," ,  , rehmannia root is a very commonly used herb in ,. know as or di-huang, (earth yellow), prepared rehmannia is used for loss of blood, yin deficiency, lower back pain with , deficiency from overwork (it replenishes the vital essence of the kidneys),lumbago, cough, hectic fever, ,, urinary incontinence, deafness, uterine bleeding, vertigo, tinnitus, and for regulating menstrual flow. rehmannia has astringent properties that make it useful in stopping bleeding. it helps to protect and support the  , and adrenal glands and is often found in energy tonic formulas to used to combat chronic fatique. ", ,rehmannia glutinosa rehmannia root," Fatigue, Kidney, Longevity Tonics",",,  ,Traditional Chinese Medicine"," Analgesic, Depurative, Diuretic, Hypotensive"," fatigue, kidney, longevity tonics,
 ,
,kidney,diabetes,liver"
chicory ,",,  , the dark, rich flavor of chicory is best known as  a southern substitute for ,, but herbalists value chicory as a ,. drinking chicory on a regular basis helps to rid your system of excess waterand uric acid buildup without depleting potassium and other minerals, helping  to support the , and the ,this also makes chicory a good beverage for those with ,.  in this respect it mirrors and complements  the properties of ,, with which it is often combined.  ,chicory has a long standing reputation as a medicinal herb, m. grieve recommendedit in her 1931 , ,chicoryis also a good source of inulin, a prebiotic important to the , and other compounds that are , and antibacterial. ",,cichorium intybus chicory root," Cardiovascular, Detoxification, Gout, Liver",",,  ,North America"," Anti-inflammatory, Cholagogue, Depurative, Diuretic, Hepatic, Laxative, Refrigerant"," cardiovascular, detoxification, gout, liver,bitter
  digestive tonic,liver,heart. ,rheumatism and gout,immune system"
chickweed ,"chickweed  is best known for  it's ability to cool , and speed healing for internal or external flare-ups. , is an old remedy for ,, according to culpepper, and wise women and herbalists still drink teas of fresh chickweed as one of the classic spring tonics to cleanse the blood.  chickweed poultices are useful for cooling and soothing , particularly when associated with    ,.,learn to identify and make use of this common ""weed""  that is probably growing in your back yard to ensure  a free lifetime supply of ,, spring salads and teas.  fresh chickweed can be eaten in summer salads and can be fed to , to assist in the expulsion of hair balls, and sooth the digestive tract. chickweed is an effective and gentle laxative. the seeds are food for finches and many other seed-eating birds. they say the best things in life are free, and chickweed is a great example.  ", ,stellaria media chickweed," Constipation, Diet/weight Loss, Insect/flea Bites, Psoriasis, Skin Care, Spring Tonics",," Anti-inflammatory, Appetite Depressant, Breath, Demulcent, Laxative, Refrigerant"," constipation, diet/weight loss, insect/flea bites, psoriasis, skin care, spring tonics,obesity,minor burns, skin irritations, and rashes,dryness and itching,companion animals"
chervil ,"chervil must be used fresh to produce its full flavor. cooking destroys the   color and flavor of this delicate herb, so add last to soups and stews. chervil   is highly regarded by french cooks and considered to be one of the foremost   of the  ,, along with chives, , and ,.,although chervil is considered to be foremost a  ,, is also has a history of use in herbal medicine. chervil is a traditional remedy for bad dreams, burns, and ,. we know today that chervil is an excellent source of antioxidants that stabilize cell membranes and reduce inflammation associated with headache, sinusitis, peptic ulcer, and infections.","chervil is a delicate and fernlike member of the parsely family, and is similar in appearance and use. the plant is native to southern russia and western asia, and cultivated in france for centuries. ",anthriscus cerefolium chervil, Culinary/Kitchen,," Antioxidant, Carminative"," culinary/kitchen,culinary herb"
chaste tree ,"vitex  neither represses  , passion, as the ancient greeks who gave it the name ,(chaste), believed, nor does it act as a true ,. vitex is a normalizing herb for the ,system, a regulator of the hormonal balance of estrogen and progesterone. ,this normalizing of hormones is what makes the herb valuable in treating , and irregular menses, ,,, and infertility. for chronic problems, it is most effective when taken over a prolonged period of time. ,vitex berry tinctures were also traditionally prescribed for pain and weakness  in the limbs.", ,vitex agnus castus chaste tree," Dysmenorrhea, Female Hormones, Menopause, PMS",",,  "," Anodyne, Emmenagogue, Galactagogue"," dysmenorrhea, female hormones, menopause, pms,sexual,aphrodisiac,female reproductive ,painful,pms, menopause"
chaparral ,"chaparral has potent and long-lasting anti-inflammatory and analgesic effects in the treatment of  ,.  chaparel is one of the medicinal plants of the southwest,(along with osha , and ,) with a long history of medicinal use. chaparral herb should only be used externally in baths, and the tincture can be used to make creams and lotions. applied to the skin, chaparral can have a remarkable healing effect on the,it is useful for  ,, ,, and as an excellent antiseptic dressing for  ,. "," chaparral is one the oldest living inhabitants of our planet, and has a long history of use. the american indians of the southwest have used this plant for centuries - for everything from the internal treatment of tumors and liver diseases to topical skin treatments, including sunscreen for themselves and their animals.the major traditional use of chaparral in mexican herbalism is as a bath or liniment to relieve the inflammation and pain of arthritis, sometimes in combination with osha.  ",larrea tridentata chaparral," Burns, Eczema, Parasites/worms, Psoriasis, Sunburns",North America," Antibacterial, Antifungal, Antiparasite, emetic"," burns, eczema, parasites/worms, psoriasis, sunburns,rheumatoid arthritis, skin.,eczema,psoriasis,cuts, sores and bruises"
chanca piedra ," :, * , * , ,,  ",tea made from the plant phyllanthus niruri has been used in brazil for many years to treat urinary problems and kidney stones. ,phyllanthus niruri chanca piedra," Ayurvedic, Immune, Kidney, South_American","Ayurvedic,Central and South America"," Antispasmodic, Diuretic, Emmenagogue, Febrifuge, Immunostimulant, Stomachic"," ayurvedic, immune, kidney, south_american,kidney stones,diabetes,nerve damage"
chamomile ,"because of it's extraordinarily gentle effectiveness, chamomile is the first herb of choice for many home remedies. the seemingly endless list of uses for chamomile can all be tracedto its effects on the nervous system and digestive system, as well as its anti-inflammatoryand antibacterial properties.  chamomile is a great herb to grow in the garden or buy in bulk, because there are so many different and amazing uses for it. besides being one of my all time favorite, dried chamomile flowers in a simple muslin bag make a wonderful,, i also love that sweet, apple aroma in ,chamomile is  an mild but effective remedy for , and is especially helpful in these conditions that  may be triggered by stress, anxiety,  and tension.  chamomile contains  spiroether, a very strong antispasmodic agent that relaxes aching, tense muscles  and alleviates , chamomile is an excellent healing agent in douche formulas and sitz baths totreat , , chamomile calms ,, eases , and may have a positive effect on attention deficit disorder (add). chamomile tea and chamomile oil are safe for children and babies who have trouble sleeping or are under stress. , the bitter   principles in chamomile make it an excellent tonic for the liver and   digestive system. the bittersweet flavor stimulate the gastric juices, and   help to settle the stomach. chamomile teas can be used as part of a treatment   program for ,because of its antispasmodic properties. chamomile tea is approved for use by the commission e for gastrointestinal spasms and inflammatory diseases of the gastrointestinal tract.   chamomile's anti-inflammatory actions soothe inflammation   throughout the digestive tract. chamomile is more effective for nausea and   morning sickness when used with , steep chamomile for at least 20 minutes   to more thoroughly extract the bitters. , chamomile contains compounds that are antibacterial and anti-inflammatory; one of these, the lovely blue chamazulene, is noted for promoting tissue regeneration. the anti-inflammatory effect of the essential oil applied topically improves skin regeneration. skin washes and baths with chamomile tea can calm skin inflammations, as well as bacterial skin diseases according to the ,.   the anti-inflammatory effect of the essential oil applied topically improves   , and a cold compress does wonders for puffy eyes. cooled   chamomile tea used as a , brings on the highlights in blonde or light   colored hair. add , to enhance the effect. chamomile flower extracts   are helpful in managing , .,  both chamomile teas, and chamomile essential oils can be used in herbal skin washes to help heal ,  to treat boils, bath the area with hot water and a blend of 3 to 4 drops chamomile, lavender and , twice a day. chamomile also teams up with , as a treatment for , chamomile makes an effective hot poultice to reduce swelling and ease pain when applied to a , for a dental abscess, put 1 drop of chamomile oil on a cotton ball and apply directly to the abscess.german chamomile used as a gargle is beneficial for , a gargle made with chamomile tea approved by the german commission e for bacterial infections of the mouth and gums.  ","chamomile is one of the oldest favorites among garden herbs, and its use as a medicinal plant was referenced by the egyptians.  the greeks named it 'ground-apple' - ",matricaria recutita chamomile," Anxiety, Aromatherapy, Burns, Candida/yeast, Children, Cramps/abdominal, Dental/Oral Care, Depression, Digestion, Ear, Eczema, Facial Care, Gastritis/ulcer, Hair, Herbal Steam, Herbal Teas, IBS, Rashes, Skin Care, Sleep/Insomnia, Stress, Sunburns",European," Analgesic, Anodyne, Anti-inflammatory, Antidepressant, Antirheumatic, Antispasmodic, AntiViral, Aromatic, Bitter, Breath, Calm, Carminative, Cholagogue, Cicatrisant, Depurative, Diaphoretic, Digestive, Diuretic, Emmenagogue, Febrifuge, Hepatic, Midsummer, Nervine, Sedative, Splenic, Stomachic, Stress, Vasoconstrictor, Vermifuge, Vulnerary"," anxiety, aromatherapy, burns, candida/yeast, children, cramps/abdominal, dental/oral care, depression, digestion, ear, eczema, facial care, gastritis/ulcer, hair, herbal steam, herbal teas, ibs, rashes, skin care, sleep/insomnia, stress, sunburns,delayed menstruation and
  irregular menstruation,,premenstrual pain.,vaginitis and yeast infections, anxiety,stress,irritable bowel syndrome ,skin regeneration,hair rinse,eczema,cuts, scrapes, and abrasions.,minor burns.,swollen jaw, or painful ear.,gingivitis.,vaginitis and yeast infections"
chaga ,"chaga mushrooms, or cinder conks, have been a staple of traditional  medicine for centuries among the peoples of  the boreal forests in siberia, asia and north america. they are used as a tonic and blood purifier. they belong to the ,,  a group of mushrooms that grow on wood and may be the ancestors of most gilled  mushrooms. chaga and the similar , both have a reputation as  tonics for longevity and health which are born out by recent scientific studies.  these mushrooms show great promise for their ,, , and anti-tumor  effects that inhibit the spread of ,. "," chaga  was documented by chinese herbalist shen nong in his herbal texts as early as the first century b.c.e. russian folk medicine used chaga for ailments of the stomach, liver, and heart, as well as a tonic, blood purifier, and pain reliever. chaga remains popular in russia today, where it is sold as befunigin, as a cancer cure. ",inonotus obliquus chaga mushroom," Cancer Prevention, Immune, Longevity Tonics",",,  ,European,North America"," Analgesic, Antioxidant, AntiViral, Immunostimulant"," cancer prevention, immune, longevity tonics,immune response stimulation,cancer cells"
centaury ,"the use of centaury is an ancient one dating back centuries to the greeks and  romans. it is a , closely related to , and is used for much  the same purposes. centaury was once considered a panacea, and freely given  for almost any disorder from sick cows to head lice. the herb is still popular  today as a ,. research confirms  the plant's potential for treating  ,. centaury contains the  alkaloid gentianine which has exhibited strongly anti-inflammatory properties.", ,centaurium erythraea centaury," Digestion, Gout",," Antirheumatic, Bitter, Cholagogue, Depurative, Digestive, Febrifuge"," digestion, gout,bitter digestive tonic for gas, bloating, and heartburn,rheumatism and gout"
celery ,"celery is a ,, often used to reduce the need for salt in cooking. the seeds contain  apigenin and isoquerticin, compounds that help blood vessels to expand, ,., a natural diuretic, celery can reduce excess water buildup and decrease  the uric acid that causes pain and inflammation in , and arthritis. ", ,apium graveolens celery seed," Cardiovascular, Cellulite, Gout, Rheumatoid_arthritis",," Anodyne, Anxiety, Calm, Carminative, Depurative, Diuretic, Emmenagogue, Nervine, Refrigerant"," cardiovascular, cellulite, gout, rheumatoid_arthritis,healthy medicinal food,lowering blood pressure,gout"
celandine ,"culpepper's remedy for using greater celandine, “ ,”, was updatedby ms grieve, , to include a recipe with the celandine boiledin milk as remedy as a cure for cataracts. the orange, acrid juice of the freshherb is a traditional remedy for , and ringworm, but should be used cautionon small areas of the skin as it is caustic. celandine share the constituentsanguinarinewith ,,and like that herb is oftenmentioned as an herbal treatment for cancer. the information on this use is sketchy, consisting of a few animal studies  where celandine was shown to suppress cellular growth.,  celandine is most often used by modern herbalists for treating ,, having a mildly antispasmodic, papaverine-like action on the upper digestive tract.,greater celandine is most useful as a complement to other herbs tea preparations to support and improve the functions of the gallbladder for digestive health. it is said to be most effective when prepared from fresh plant sources.  the strength of its effects can be inconsistant as theactive constiuents can vary greatly from one plant to the next.,  it would blend well with peppermint and milk thistle ","celandine grows all over germany and france, in waste places, on old walls, along roadways, and about dwellings ; it is pretty well naturalized in the united states, but so far it is not found at any great distance from dwellings, flowering from early in may until october. a fine gamboge-yellow, acrid juice, pervades the plant, root, stem and leaves ; this fact led those who practised upon the doctrine of signatures, to employ the drug in hepatic disorders, from its resemblance to bile in color. it proved one of the hits of that practice. the u. s. ph. still mentions chelidonium, but not officially; it will probably be thrown aside at the next revision as worthless, totidem verbis.",chelidonium majus celandine," Liver, Warts","European,North America,Traditional Chinese Medicine"," Analgesic, Cholagogue, Depurative, Diuretic, Hepatic, Purgative, Sedative"," liver, warts,warts"
cedarwood ," there are two commercial oils which are known as cedarwood today, ,, atlas cedarwood, which is a true cedarwood, and ,, known as red cedar. cedarwood is known for use in ,, as an  ,, and as an inhalent in respiratory complaints. it's actions are sedative, astringent, and antiseptic. it can be used to treat oily skin and scalp, relieve itching, and more serious skin conditions like psoriasis and eczema, remembering that high concentrations will irritate the skin. cedarwood is similar in action to the highly expensive sandalwood, it also has a sedative effect making it grounding in conditions of  , and nervous tension. ",,cedrus atlantica cedarwood," Acne , Bronchitis, Cellulite, Insect Repellent",",,  ,Middle East,North America"," Anxiety, Aromatic, Astringent, Calm, Diuretic, Expectorant, Insect repellents, Muscle Relaxant, Sedative"," acne , bronchitis, cellulite, insect repellent,problem skin,insect repellent,anxiety"
cayenne pepper ," hot, stimulating cayenne peppers are like a jump start to a cold car engine ona frosty morning. it brings welcome life into sore muscles and get your heart beating faster, increasing the flow of blood allthrough the body. the heat of cayenne warms , and relaxes away , the longer you use it, the better it works.  cayenne works very well for me, i use it every day, sometimes twice a day, for arthritis stiffness,  sore muscles, and low back pain. , does not burn my skin as much as capsaicin creams. cayenne salves and oils  are my first recommendation to anyone who has problems with pain, however cayenne  has many other varied uses that make it one of the most powerful remedies in  your kitchen medicine cabinet., cayenne pepper extracts are an   important part of herbal treatment for muscle pain,    ,  ,,   and the , caused by shingles and sciatica., it   appears to act by decreasing the concentration of substance ,, the primary   chemical used by nerve cells to transmit pain signals. it takes repeated use   over a period of at least a few weeks to feel this benefit. cayenne is also   rich in salicylates, natural aspirin like compounds, which add to its analgesic   nature. , , and creams are  ,,which means it warms the body by quickly dilating small capillaries, and , which reddens, (but does not burn) the skin. this increased circulation is the hallmark of cayenne's effect on the body, it stimulates the heart, and the lungs as well as increasing blood circulation and warmth throughout the whole system.,: adding cayenne to your diet plan is a no-brainer. cayenne, along with other peppers  , and lessen the change   of bacterial infections from unsanitary food and water. cayenne peppers   also lessen the gas and bloating that comes from eating heavy, greasy foods.   cayenne helps , eating more hot spicy foods will help decrease appetite and increase satiety,   so you are inclined to eat less.  seasoning with pepper lessens the need for salt and fat in cooking without   sacrificing flavor.  , capsaicin, the most potent constituent of cayenne, has been shown to be effective in treating the , treatment does produce burning sensations, which are normal and decrease with repeated use. if you buy otc products look for one that contains menthol, it will help relieve the itching as well.  a 1999 study found that treatment with capsaicin caused a marked decrease in psoriasis activity and decreased formation of new skin plaques. , cayenne is considered to be a valuable , these hot peppers contain  capsicum which has been shown to  ,and triglyceride levels.  cayenne also helps to increase circulation and keeps the blood flowing smoothly  through veins and arteries. cayenne also is high in antioxidants, rounding  out its cardiovascular benefits.",,capsicum minimum cayenne pepper," Arthritis, Cardiovascular, Congestion, Digestion, Fibromyalgia, Headache/Migraine, Nerve/Back Pain, Pain Relief, Rheumatoid_arthritis, South_American",Central and South America," Antibacterial, Antioxidant, Antiparasite, Antiscorbutic, Antiscrofulous, Antispasmodic, Carminative, Rubefacient, Styptic, Vasodilator"," arthritis, cardiovascular, congestion, digestion, fibromyalgia, headache/migraine, nerve/back pain, pain relief, rheumatoid_arthritis, south_american,stiff arthritic joints,low back pain. ,fibromyalgia,,arthritis,nerve pain,cayenne
   pepper balms, oils,
increasing circulation, ,strengthen digestion,boost your metabolism and induces the body to burn off more
   fat.,symptoms of psoriasis.,heart tonic.,reduce cholesterol "
catuaba ,"catuaba is the most famous of the brazilian aphrodisiac plants, noted for it's ability to , catuaba is an aphrodisiac that is useful in the treatment of impotence and prostatitis, and has been studied for possible benefits as a protective against opportunistic infection in hiv/aids. , in 2002, a brazilian company was awarded a patent for an hiv prevention formula based on an extract of the herb, although research is still in progress.", ,erythroxylum catuaba," Aphrodisiac, Fatigue, Libido, South_American",," Antibacterial, Antioxidant, Aphrodisiac, Immunostimulant, Vasodilator"," aphrodisiac, fatigue, libido, south_american"
catnip ,"a harmless high for felines and beneficial for humans. catnip leaves contain considerable quantities of vitamins c and e, both excellent antioxidants. the primary phytochemicals, nepetalactone isomers, are ,, somewhat like the active ingredients in valerian. catnip is a gentle but potent , for humans that calms without affecting you the next day. it soothes the nervous system and can safely help get a restless child off to sleep, in fact catnip, along with chamomile, is one of the most often recommended herbs for use in childrens complaints.,catnip teas have long been used in traditional herbal medicine to quell digestive disturbances, and reducing the pain of menstrual ,.  a hot cup of catnip tea is excellent for treating , and  flu because it producing perspiration without increasing the heat of the system.  catnip tea is good for curing headaches as well.", ,nepeta cataria catnip," Anxiety, Children, Colds, Cramps/abdominal, Dysmenorrhea, Herbal Teas, Insect Repellent, Pet, Sleep/Insomnia","European,North America"," Antioxidant, Antispasmodic, Aromatic, Breath, Carminative, Diaphoretic, Emmenagogue, Febrifuge, Nervine, Refrigerant"," anxiety, children, colds, cramps/abdominal, dysmenorrhea, herbal teas, insect repellent, pet, sleep/insomnia,mild sedatives,sleep-inducer,cramps,colds"
cats claw ,"the stem and root of cat's claw are harvested in brazil, peru, and other parts of the amazon region, where it is known as ,. this woody vine clings to the tallest trees by it's thorns or ""claws"". the bark is traditionally used for , and intestinal complaints such as , , in austria and germany, cat's claw preparations are prescription only medications.,alkaloids found in the bark and roots of cat's claw have been documented to stimulate the ,. studies indicate at least six of these oxindole alkaloids can increase immune function by up to 50% in relatively small amounts. this has led to its use around the world as an adjunctive treatment for cancer and aids as well as other diseases which negatively impact the immune system.","used by native peoples in south america as a contraceptive, ethically harvested cat's claw bark is a major source of income for many brazilian and peruvian villages. ",uncaria tomentosa cat claw," Gastritis/ulcer, Immune, Lupus, Rheumatoid_arthritis, South_American",Central and South America," Analgesic, Anti-inflammatory, Antirheumatic, Immunostimulant"," gastritis/ulcer, immune, lupus, rheumatoid_arthritis, south_american,inflammatory arthritis,stomach ulcers.,immune system"
castor ," one of the most time honored home remedies for ,, castor oil was the bane of childhood for those of us who were subjected to a daily dose of this rather vile tasting oil. but don't let that dissuade you from using castor oil externally, it is a wonderful analgesic oil when applied externally for all kinds of pain including: , and ,, bruising, , , are well suited to the slow relief of chronic pain and swelling. castor oil forms a protective surface when used in cosmetic and skin care formulations that acts as a protective barrier for skin. ", ,ricinus communis castor oil," African, Arthritis, Bruises/sprains, Constipation, Fibromyalgia, Nerve/Back Pain, Pain Relief, Parasites/worms, Polynesian",",,  ,African,Middle East,Tropical islands"," Analgesic, Anodyne, Antirheumatic, Antiscrofulous, Cathartic, Emollient, Febrifuge, Galactagogue, Parturient, Purgative, Vermifuge, Vulnerary"," african, arthritis, bruises/sprains, constipation, fibromyalgia, nerve/back pain, pain relief, parasites/worms, polynesian,constipation,sore muscles,arthritis pain,lower back pain, and nerve damage."
cassia nomame ,, ,cassia nomame,,,,weight loss and diet
cashew nut ," :, * , ", ,anacardium occidentale cashew nut," Nutrition, South_American",Central and South America," Astringent, Hypoglycemic, Vermifuge"," nutrition, south_american,diabetes and high blood sugar,weight gain"
"carrot, wild ","the root of the domesticated carrot contains no less than 89 percent of waterand about 4.5 percent sugar making them a great snack food for ,. common garden carrots are a domesticated form of the wild carrot that has beenselectively bred for a large, tender taproot. the seed of the wild carrot,  commonly know as queen anne's lace, is the part used medicinally.,wild carrot seeds have been used historically as a natural morning after contraceptive,but this use remains controversial. ,wild carrot seeds are not readilyavailable commercially, but can be wildcrafted by those who are very confidentin their plant identification skills. wild carrot is similar in appearance tothe deadly poison hemlock, ,.","the carrot was well known to the ancients, and is mentioned by greek and latin writers under various names, the name carota for the garden carrot is found first in the writings of athenaeus(a.d. 200), and from the time of dioscorides and pliny to the present day, the carrot has been in constant use by all nations. ",daucus carota carrot wild," Aromatherapy, Culinary/Kitchen, Facial Care, Wrinkles",," Abortifacient, Antispasmodic, AntiViral, Aromatic, Nervine, Psychedelic"," aromatherapy, culinary/kitchen, facial care, wrinkles,dieters"
carob ,"carob is  a healthy substitute for ,that is lower in calories.   roasted carobis naturally sweeter, (or not as bitter), as unsweetened chocolate, so it can bemade palatable with less added sugar in recipes. carob has a number of advantagesover chocolate: it is hypoallergenic, and , , thetrue trick to enjoying carob is to not expect it to taste exactly like chocolate,(andbe forever disappointed), but to learn to appreciate carob for its own uniquetaste.","carob was eaten in ancient egypt, rome and figures in passages from both the bible and the talmud. ",ceratonia siliqua carob," Children, Culinary/Kitchen, Diabetes, Herbal Teas",",,  "," Antitussive, Astringent, Hypoglycemic"," children, culinary/kitchen, diabetes, herbal teas,hypoglycemic."
cardamom ,"cardamom is an incredibly rich yet light aromatic spice that reminds you of cinnamon, but has its own unique ambiance. cardamom is antispasmodic which makes it handy for any types of stomach cramps caused by indigestion or ibs. like its close relative ginger, cardamom is is well known for relief of nausea,  especially morning sickness in pregnancy. cardamomstrengthens digestion and kills the bacteria responsible for bad breath, makingit an excellent after dinner tea. cardamom also can help clear congestion from colds, flu and allergies. ""secondonly to lemon, cardamom is perhaps the best source of a phytochemical calledcineole, which calms your nerves and clears your head"". ","cardamom was often used in eastern aphrodisiacs, although it is not certain whether it has any physiological effect in this area. ",elettaria cardamomum," Aromatherapy, Ayurvedic, Bronchitis, Christmas, Congestion, Culinary/Kitchen, Digestion, Halitosis, Herbal Steam, Herbal Teas, Nausea",Ayurvedic," Analgesic, Antispasmodic, Antispasmodic, Aphrodisiac, Aromatic, Carminative, Digestive, Diuretic, Mental Clarity, Mood, Warm"," aromatherapy, ayurvedic, bronchitis, christmas, congestion, culinary/kitchen, digestion, halitosis, herbal steam, herbal teas, nausea"
caraway ,"caraway is best known as the crunchy seeds atop dark rye bread but this familar kitchen spice is also one of the best , caraway is also a good remedy for colds and ,, it contains  mild antihistamines, antimicrobial compounds that help to relax the muscles that cause coughing spasms.  caraway seeds are also used in a number of medicinal preparations for treating disorders such as rheumatism, eye infections and ,. caraway seed oil is used in treating fungus infections as well, and is effective against candida infections. caraway is often used in combination with , to relieve the symptoms of , and indigestion.", ,carum carvi caraway seed," Bronchitis, Candida/yeast, Children, Culinary/Kitchen, Digestion, IBS",Middle East," Analgesic, Antispasmodic, Aromatic, Calm, Carminative, Digestive, Emmenagogue, Febrifuge, Galactagogue"," bronchitis, candida/yeast, children, culinary/kitchen, digestion, ibs,congestion,toothaches,irritable bowel syndrome"
canola , , ,brassica napus canola oil,,,,
